ID,C_SWIFT_C,CLASS_ID
140220006136,BLOPIT22820,CL_BANK_F
140220006186,BLOPIT22821,CL_BANK_F
140220006236,BLOPIT22850,CL_BANK_F
140220006286,BLOPIT22851,CL_BANK_F
140220006336,BLOPIT22852,CL_BANK_F
140220006386,BLOPIT22853,CL_BANK_F
140220006436,BLOPIT22854,CL_BANK_F
140220006486,BLOPIT22855,CL_BANK_F
140220006536,BLOPIT22856,CL_BANK_F
140220006586,BLOPIT22857,CL_BANK_F
140220006636,BLOPIT22858,CL_BANK_F
140220006686,BLOPIT22859,CL_BANK_F
140220006736,BLOPIT22860,CL_BANK_F
140220006786,BLOPIT22861,CL_BANK_F
140220006836,BLOPIT22862,CL_BANK_F
140220006886,BLOPIT22863,CL_BANK_F
140220006936,BLOPIT22864,CL_BANK_F
140220006986,BLOPIT22865,CL_BANK_F
140220007036,BLOPIT22866,CL_BANK_F
140220007086,BLOPIT22867,CL_BANK_F
140220007136,BLOPIT22868,CL_BANK_F
140220007186,BLOPIT22869,CL_BANK_F
140220007236,BLOPIT22870,CL_BANK_F
140220007286,BLOPIT22871,CL_BANK_F
140220007336,BLOPIT22872,CL_BANK_F
140220007386,BLOPIT22873,CL_BANK_F
140220007436,BLOPIT22874,CL_BANK_F
140220007486,BLOPIT22875,CL_BANK_F
140220007536,BLOPIT22876,CL_BANK_F
140220007586,BLOPIT22877,CL_BANK_F
140220007636,BLOPIT22878,CL_BANK_F
140220007686,BLOPIT22879,CL_BANK_F
140220007736,BLOPIT22880,CL_BANK_F
140220007786,BLOPIT22881,CL_BANK_F
140220007836,BLOPIT22882,CL_BANK_F
140220007886,BLOPIT22883,CL_BANK_F
140220007936,BLOPIT22884,CL_BANK_F
140220007986,BLOPIT22885,CL_BANK_F
140220008036,BLOPIT22886,CL_BANK_F
140220008086,BLOPIT22887,CL_BANK_F
140220008136,BLOPIT22888,CL_BANK_F
140220008186,BLOPIT22889,CL_BANK_F
140220008236,BLOPIT22890,CL_BANK_F
